TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,DYCD  after-school programs: Out Of School Time (Education/DYCD-after-school-programs-Out-Of-School-Time/uvks-tn5n),"Facilities in New York City that offer ""Out of School Time"" after-school programs.  Managed by the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Out-Of-School-Time/uvks-tn5n,80,Education,"education, services, youth, community, development, school, child, children, time",0,uvks-tn5n
Tabular,DYCD after-school programs (Education/DYCD-after-school-programs/mbd7-jfnc),"After-school programs in New York City, organized by various categories and for various audiences.
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs/mbd7-jfnc,80,Education,"education, services, youth, community, development, school, child, children",1,mbd7-jfnc
Filter,Pending Rodent Complaints (2010-present) (Social-Services/Pending-Rodent-Complaints-2010-present-/9ncr-ejx7),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Pending-Rodent-Complaints-2010-present-/9ncr-ejx7,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,9ncr-ejx7
Map,Community Health Survey (GIS data) 2004_2008 (Health/Community-Health-Survey-GIS-data-2004_2008/gnct-5eav),"Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence.",https://data.cityofnewyork.us/Health/Community-Health-Survey-GIS-data-2004_2008/gnct-5eav,0,Health,"health, safety, geographic, map, cartography, public, community, neighborhood, location, hospital, fund, boundary, boundaries, status, statistics, care",0,gnct-5eav
Tabular,DYCD after-school programs:  Beacon Programs (Education/DYCD-after-school-programs-Beacon-Programs/35sw-rdxj),"Facilities in New York City, by agency and site,  that offer ""Beacon Programs"" after-school programs.
Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Beacon-Programs/35sw-rdxj,0,Education,"education, services, youth, community, development, school, child, children, beacon",0,35sw-rdxj
Tabular,DYCD after-school programs: Adolescent Literacy (Education/DYCD-after-school-programs-Adolescent-Literacy/a8rp-fpnn),"Facilities in New York City, by agency and site, that offer after-school programs and learning resources for adolescent literacy.
Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Adolescent-Literacy/a8rp-fpnn,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, young adult, civics, literacy, english language program, adolescent literacy",0,a8rp-fpnn
Map,Noise Complaint Points 110 125 Streets (Social-Services/Noise-Complaint-Points-110-125-Streets/xxn7-psqd),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Noise-Complaint-Points-110-125-Streets/xxn7-psqd,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,xxn7-psqd
Map,Nina (Community-Service/Nina/vzns-8b2g),Empower Zones,https://data.cityofnewyork.us/Community-Service/Nina/vzns-8b2g,0,Community Service,"geographic, location, map, cartography, basemap, empower, zone",0,vzns-8b2g
Filter,311 Address Type Queens (Social-Services/311-Address-Type-Queens/s8tw-bf44),All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-Address-Type-Queens/s8tw-bf44,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,s8tw-bf44
Filter,311hfhg (Other/311hfhg/rc3z-yq3h),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/311hfhg/rc3z-yq3h,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,rc3z-yq3h
Map,NYC Waterfront Parks (dataset/NYC-Waterfront-Parks/i5th-f76j),NYC Waterfront Parks,https://data.cityofnewyork.us/dataset/NYC-Waterfront-Parks/i5th-f76j,0,,"nyc waterfront parks, dcp, parks",0,i5th-f76j
Filter,DOE (Social-Services/DOE/j2dp-ev86),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/DOE/j2dp-ev86,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,j2dp-ev86
Filter,DOHMH (Social-Services/DOHMH/3isz-viz2),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/DOHMH/3isz-viz2,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,3isz-viz2
Filter,NYC Forestry Complaints (Social-Services/NYC-Forestry-Complaints/kqz8-f9re),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/NYC-Forestry-Complaints/kqz8-f9re,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,kqz8-f9re
Filter,HPDComplaints (Social-Services/HPDComplaints/ukid-6a4s),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/HPDComplaints/ukid-6a4s,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,ukid-6a4s
Filter,Bronx DSNY 311 Service Requests (Social-Services/Bronx-DSNY-311-Service-Requests/6hbx-qnep),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx-DSNY-311-Service-Requests/6hbx-qnep,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,6hbx-qnep
Map,Commercial Noise Complaints MANCB03 (Other/Commercial-Noise-Complaints-MANCB03/styc-7sfk),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/Commercial-Noise-Complaints-MANCB03/styc-7sfk,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,styc-7sfk
Map,DATA MAP NYPD TRAFFIC 2 (Other/DATA-MAP-NYPD-TRAFFIC-2/wb9y-h6sa),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/DATA-MAP-NYPD-TRAFFIC-2/wb9y-h6sa,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,wb9y-h6sa
Map,Google Map - 311 NYPD Traffic Complaints (Chronic Speding)- 2010-Present (Other/Google-Map-311-NYPD-Traffic-Complaints-Chronic-Spe/54b2-muxv),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/Google-Map-311-NYPD-Traffic-Complaints-Chronic-Spe/54b2-muxv,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,54b2-muxv
Filter,311 DOB Important Columns (Social-Services/311-DOB-Important-Columns/knz4-d525),All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-DOB-Important-Columns/knz4-d525,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,knz4-d525
Filter,NYC Housing Complaints - FINAL i good (Social-Services/NYC-Housing-Complaints-FINAL-i-good/9zpy-tjz6),All 311 Service Requests from 2010 to mid-February 2012.,https://data.cityofnewyork.us/Social-Services/NYC-Housing-Complaints-FINAL-i-good/9zpy-tjz6,0,Social Services,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,9zpy-tjz6
Tabular,DYCD after-school programs: Beacon Satellite At NYCHA Programs (Education/DYCD-after-school-programs-Beacon-Satellite-At-NYC/pyif-r8qe),"Facilities in New York City, by agency and site, that offer â€œBeacon Satellite at NYCHA Programsâ€ù after-school  programs.
Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Beacon-Satellite-At-NYC/pyif-r8qe,0,Education,"education, services, youth, community, development, school, child, children, nycha, new york city housing authority, beacon satellite, beacon",0,pyif-r8qe
Filter,123 (Social-Services/123/fehr-6vgy),All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/123/fehr-6vgy,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,fehr-6vgy
Filter,ML_YESTER (Social-Services/ML_YESTER/qpcz-qh3m),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/ML_YESTER/qpcz-qh3m,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,qpcz-qh3m
Tabular,DYCD after-school programs: Family Support  Programs for Seniors (Community-Service/DYCD-after-school-programs-Family-Support-Programs/dhs7-q59e),"Facilities in New York City, by agency and site, that offer after-school Family Support Programs for seniors and older adults.Submitted by the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Family-Support-Programs/dhs7-q59e,0,Community Service,"community, development, community development, school, after-school, after-school programs, programs, family, family support, seniors, older adults",0,dhs7-q59e
Blob,Open Balance (Staten Island) (Property/Open-Balance-Staten-Island-/djj3-qxwf),Property tax balance and payment information for all active properties,https://data.cityofnewyork.us/Property/Open-Balance-Staten-Island-/djj3-qxwf,0,Property,"department of finance, finance, dof, staten island, borough, statement of account",0,djj3-qxwf
Tabular,DYCD after-school programs: Fatherhood (Community-Service/DYCD-after-school-programs-Fatherhood/esw6-z4id),"Facilities in New York City, by agency and site, that offer Family Support after-school â€œFatherhood Initiative Programsâ€ù for young adults ages 16 to 24. Submitted by the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Fatherhood/esw6-z4id,0,Community Service,"community, development, community development, school, after-school, after-school programs, programs, family, family support, fatherhood, initiative, fatherhood initiative, adults, young adults",0,esw6-z4id
Filter,nicool (Facilities-and-Structures/nicool/wchr-fhbx),"Detailed data on NYC buildings with oil boilers, including fuel consumption, BBL, building owner/management info, deadline for complying with Audit and Retrocommissioning Law, building type and year constructed, number of floors and residential units, Condo/Coop status, and more.",https://data.cityofnewyork.us/Facilities-and-Structures/nicool/wchr-fhbx,0,Facilities and Structures,"energy, power, environment, planning, construction, housing, property",0,wchr-fhbx
Map,Fire Companies (Public-Safety/Fire-Companies/a3wk-waqu),GIS data: Boundaries of Fire Companies,https://data.cityofnewyork.us/Public-Safety/Fire-Companies/a3wk-waqu,0,Public Safety,"fire companies, dcp, geographic, location, map, cartography, safety, fire, flame, boundary, fireman",0,a3wk-waqu
Tabular,DYCD after-school programs: Health Stat (Community-Service/DYCD-after-school-programs-Health-Stat/9f5k-vxxv),"Facilities in New York City, by agency and site, that offer Neighborhood Development Area (NDA) â€œHealth Statâ€ù after-school Family Support Programs. - Department of Youth and Community Development (DYCD). 
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Health-Stat/9f5k-vxxv,0,Community Service,"community, development, community development, school, child, children, after-school, after-school programs, programs, family, family support, nda, neighborhood, neighborhood development area, healthstat, health, stat",0,9f5k-vxxv
Tabular,DYCD after-school programs: Healthy Families (Community-Service/DYCD-after-school-programs-Healthy-Families/yqkf-i7a4),"Facilities in New York City, by agency and site, that offer â€œHealthy Familyâ€ù after-school Family Support Programs, such as programs in Housing Assistance and Advocacy, Adult Health Awareness and Prevention, HIV/AIDS Support Services, Young Parent Education and Family Support, Substance Abuse Education and Prevention, and the Fatherhood Initiative.
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Healthy-Families/yqkf-i7a4,0,Community Service,"community, development, community development, school, child, children, after-school, after-school programs, programs, family, family support, housing assistance and advocacy, housing, advocacy, adult health awareness and prevention, hiv/aids support services, hiv, aids, hiv/aids, young parent education and family support, substance abuse education and prevention, fatherhood initiative, healthstat, health, stat",0,yqkf-i7a4
Blob,Open Balance (Manhattan) (Property/Open-Balance-Manhattan-/je66-se2r),Property tax balance and payment information for all active properties,https://data.cityofnewyork.us/Property/Open-Balance-Manhattan-/je66-se2r,0,Property,"department of finance, finance, dof, manhattan, borough, statement of account",0,je66-se2r
Tabular,DYCD after-school programs: Immigrant Services (Community-Service/DYCD-after-school-programs-Immigrant-Services/zmut-au2w),"Facilities in New York City, by agency and site, that offer after-school programs for immigration services and immigrant support services. These include programs for legal assistance, legal services, refugee assistance, immigrant youth services, immigrant family services, and domestic violence programs.- Department of Youth and Community Development (DYCD). 
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Immigrant-Services/zmut-au2w,0,Community Service,"community, development, community development, school, child, children, after-school, after-school programs, programs, immigration, immigrant, nda, legal assistance, legal services, domestic violence, neighborhood, neighborhood development area, immigrant support, refugee, refugee assistance",0,zmut-au2w
Tabular,DYCD after-school programs: ISY In-School Youth Employment Programs (Education/DYCD-after-school-programs-ISY-In-School-Youth-Emp/56u9-ryj4),"Facilities in New York City, by agency and site, that offer â€œIn-School Youth Employment (ISY) Programâ€ù after-school  job and internship programs for students in High School.
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-ISY-In-School-Youth-Emp/56u9-ryj4,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, employment, internships, job, jobs, internship, young adult, high school, isy, in-school, youth employment",0,56u9-ryj4
Map,jordan (Media/jordan/ru9a-4xsm),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/jordan/ru9a-4xsm,0,Media,"doitt gis, geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,ru9a-4xsm
Tabular,DYCD after-school programs: Jobs and Internships (Education/DYCD-after-school-programs-Jobs-and-Internships/99br-frp6),"Facilities in New York City, by agency and site, that offer the following after-school  job and internship programs: Summer Youth Employment, In-School Youth Employment (ISY), Out-of-School Youth Employment (OSY), Youth Employment, and Adult Employment Programs for children in age groups 14 to 24, 16 to 21, children in all grades, and adults.    Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Jobs-and-Internships/99br-frp6,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, summer youth employment, summer, employment, internships, job, jobs, internship, adult employment, adult, in-school youth employment, (isy), out-of-school youth employment, (osy)",0,99br-frp6
Tabular,DYCD after-school programs: NDA Adult Literacy Programs (Education/DYCD-after-school-programs-NDA-Adult-Literacy-Prog/ia9u-k3t3),"Facilities in New York City, by agency and site, that offer â€œNeighborhood Development Area (NDA) Reading and Writing Programâ€ù after-school adult literacy programs - the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-NDA-Adult-Literacy-Prog/ia9u-k3t3,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, young adult, civics, literacy, english language program, adult literacy, nda, neighborhood, neighborhood development area, reading, writing",0,ia9u-k3t3
Tabular,DYCD after-school programs: NDA Educational High School Progams (Education/DYCD-after-school-programs-NDA-Educational-High-Sc/ut9y-2ptp),"Facilities in New York City, by agency and site, that offer â€œNeighborhood Development Area (NDA) Educational High School Programsâ€ù after-school  programs for children in High",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-NDA-Educational-High-Sc/ut9y-2ptp,80,Education,"education, services, youth, community, development, community development, school, child, children, after-school, nda, neighborhood development area, neighborhood, high school",0,ut9y-2ptp
Tabular,DYCD after-school programs: NDA Educational Middle School Programs (Education/DYCD-after-school-programs-NDA-Educational-Middle-/6rg9-pfbz),"Facilities in New York City, by agency and site, that offer â€œNeighborhood Development Area (NDA) Educational Middle School Programsâ€ù after-school  programs for children in Middle School.
Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-NDA-Educational-Middle-/6rg9-pfbz,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, nda, neighborhood development area, neighborhood, middle school",0,6rg9-pfbz
Tabular,DYCD after-school programs: NDA Family Literacy (Education/DYCD-after-school-programs-NDA-Family-Literacy/k3qa-jvkc),"Facilities in New York City, by agency and site, that offer â€œNDA (Neighborhood Development Area) Reading and Writing Programâ€ù after-school  family literacy programs.  - Department of Youth and Community Development (DYCD).",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-NDA-Family-Literacy/k3qa-jvkc,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, young adult, civics, literacy, english language program, adult literacy, nda, neighborhood, neighborhood development area, reading, writing, family",0,k3qa-jvkc
Filter,"Directory of medical practices, Brooklyn: (Health/Directory-of-medical-practices-Brooklyn-/e86p-rzkc)",Directory of medical practices in NYC,https://data.cityofnewyork.us/Health/Directory-of-medical-practices-Brooklyn-/e86p-rzkc,0,Health,"pcip, recognition, doctor, medical, practice, directory, physician",0,e86p-rzkc
Blob,Street Tree Census (Staten Island) (Environmental-Sustainability/Street-Tree-Census-Staten-Island-/pvq6-utmq),Staten Island street tree census,https://data.cityofnewyork.us/Environmental-Sustainability/Street-Tree-Census-Staten-Island-/pvq6-utmq,0,Environmental Sustainability,"park, parks, nature, recreation, tree, census, arbor, geographic, staten island, greenery",0,pvq6-utmq
Filter,HPD (Social-Services/HPD/4xii-84j2),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/HPD/4xii-84j2,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,4xii-84j2
Filter,temp2 (Social-Services/temp2/x5sv-98nn),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/temp2/x5sv-98nn,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,x5sv-98nn
Map,DYCDOACE (Community-Service/DYCDOACE/m896-nfke),DYCD Beacon,https://data.cityofnewyork.us/Community-Service/DYCDOACE/m896-nfke,0,Community Service,"geographic, location, map, cartography, basemap, beacon, youth",0,m896-nfke
Tabular,DYCD after-school programs: NDA Youth Employment Programs (Education/DYCD-after-school-programs-NDA-Youth-Employment-Pr/mrxb-9w9v),"Facilities in New York City, by agency and site, that offer â€œNDA Neighborhood Development Area Youth Employment  Programâ€ù after-school  job and internship programs for children and young adults ages 14 to 21 in Middle School, in High School, or in all grades.
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-NDA-Youth-Employment-Pr/mrxb-9w9v,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, employment, internships, job, jobs, internship, young adult, youth employment, nda, neighborhood, neighborhood development area",0,mrxb-9w9v
Tabular,DYCD after-school programs: Neighborhood Development Area (NDA) Family Support (Education/DYCD-after-school-programs-Neighborhood-Developmen/chv4-k4fa),"A database of facilities in New York City, by agency and site, that offer NDA (Neighborhood Development Area) after-school â€œFamily Support Programs,â€ù including immigrant services, legal assistance, domestic violence, health, housing and literacy programs for adults, seniors, young adults and children of all ages",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Neighborhood-Developmen/chv4-k4fa,80,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, employment, internships, job, jobs, internship, young adult, youth employment, nda, neighborhood, neighborhood development area, reading, writing, family, family literacy, immigration, immigrants, adolescent literacy, family support, senior, domestic violence, high-school, high school, healthstat, health stat, housing, legal assistance, middle school, refugee",0,chv4-k4fa
Tabular,DYCD after-school programs: OSY Out Of School Youth Employment Programs (Education/DYCD-after-school-programs-OSY-Out-Of-School-Youth/36hn-wea6),"Facilities in New York City, by agency and site, that offer â€œOut-Of -School Youth Employment (OSY) Programâ€ù after-school  job and internship programs for young adults ages 16 to 21.
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-OSY-Out-Of-School-Youth/36hn-wea6,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, employment, internships, job, jobs, internship, young adult, osy, in-school, youth employment",0,36hn-wea6
Tabular,DYCD after-school programs: Reading And Writing Literacy Programs (Education/DYCD-after-school-programs-Reading-And-Writing-Lit/w9cy-nnma),"Facilities in New York City, by agency and site, that offer after-school programs and resources for adult and adolescent literacy, family literacy, and English as a Second Language (ESOL) programs.
Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Reading-And-Writing-Lit/w9cy-nnma,80,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, young adult, civics, literacy, esol, esl, english as a second language, english language program, adult literacy, adolescent literacy, family literacy, english for speakers of other languages, immigrant rights, learning",0,w9cy-nnma
Tabular,DYCD after-school programs: Runaway And Homeless Youth (Community-Service/DYCD-after-school-programs-Runaway-And-Homeless-Yo/ujsc-un6m),"Facilities in New York City, by agency and site,  that offer after-school programs for runaway and homeless youth, including street outreach programs, drop-in centers, crisis shelters, and transitional independent living (TIL) programs.
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Runaway-And-Homeless-Yo/ujsc-un6m,0,Community Service,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, young adult, runaway, homeless, street, outreach, street outreach, drop-in centers, crisis, crisis shelters, shelters, itil, transitional independent living",0,ujsc-un6m
Tabular,DYCD after-school programs: Teen ACTION Programs (Education/DYCD-after-school-programs-Teen-ACTION-Programs/fijd-wye8),"Facilities in New York City, by agency and site, that offer â€œTeen ACTION Programsâ€ù after-school  programs for children ages 13 to 21.
Update Schedule: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Teen-ACTION-Programs/fijd-wye8,0,Education,"education, services, youth, community, development, school, child, children, nycha, new york city housing authority, beacon satellite, teen action, after school",0,fijd-wye8
Map,SI (Cultural-Affairs/SI/d27a-yn3m),"Landmarks Preservation Commission point shapefile. A point shapefile of NYC Landmarks Preservation Commission individual, interior and scenic landmarks as well as points of all buildings within historic districts; for use in Geographic Information Systems (GIS).",https://data.cityofnewyork.us/Cultural-Affairs/SI/d27a-yn3m,0,Cultural Affairs,"geographic, location, map, cartography, historic, landmark, preservation, preserve, conservation, conserve, interior, scenic, building, district",0,d27a-yn3m
Map,tr (Environmental-Sustainability/tr/8hcp-vv7t),"Manhattan street tree census inventory
Update Frequency: As Needed",https://data.cityofnewyork.us/Environmental-Sustainability/tr/8hcp-vv7t,0,Environmental Sustainability,"park, parks, nature, recreation, tree, census, arbor, geographic, manhattan",0,8hcp-vv7t
Tabular,DYCD after-school programs: Young Adult Internship Programs (Education/DYCD-after-school-programs-Young-Adult-Internship-/73bd-vkmx),"Facilities in New York City, by agency and site, that offer â€œYouth Adult Internship Programâ€ù after-school  job and internship programs for young adults ages 16 to 24.
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-Young-Adult-Internship-/73bd-vkmx,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, after-school programs, programs, employment, internships, job, jobs, internship, young adult",0,73bd-vkmx
Tabular,DYCD after-school-programs: Housing (Community-Service/DYCD-after-school-programs-Housing/fqcv-e9sg),"Facilities in New York City, by agency and site, that offer Family Support after-school â€œHousing Assistance and Advocacy Programsâ€ù for adults and young adults ages 18 and up - Department of Youth and Community Development (DYCD).
Update Frequency: Annually",https://data.cityofnewyork.us/Community-Service/DYCD-after-school-programs-Housing/fqcv-e9sg,0,Community Service,"community, development, community development, school, after-school, after-school programs, programs, family, family support, housing assistance and advocacy, housing assistance & advocacy, 18 and up, adults",0,fqcv-e9sg
Filter,Test (Transportation/Test/b9hh-z47x),"The Parking Regulations are drawn from DOTâ€™s traffic sign database, STATUS, which is used by DOT in managing its inventory of over one million traffic signs in New York City. The database keeps track of the description, location and installation dates for DOT traffic signs. The Locations and Signs files need to be used in combination. The data in files can be linked, to find an applicable regulation, using the 'StatusOrderNumber' value. This process is automated at our  DOT Parking Regulation website: http://a841-dotvweb01.nyc.gov/ParkingRegs/ViewController/LocationValidation.aspx",https://data.cityofnewyork.us/Transportation/Test/b9hh-z47x,0,Transportation,"parking, regulation, traffic, sign, signage, location, install, car, automobile, drive, driving",0,b9hh-z47x
Filter,joy (Other/joy/x2hk-r9xa),This is the current list of all the datasets available on NYC Open Data,https://data.cityofnewyork.us/Other/joy/x2hk-r9xa,0,Other,"data sets, list, data, opendata, catalog, nyc opendata catalog",0,x2hk-r9xa
Filter,. (Environmental-Sustainability/-/ytvg-f4ef),"The Cityâ€™s Long-Term Sustainability Plan, PlaNYC, calls for City government to reduce greenhouse gas emissions produced by municipal operations 30% by 2017. A large part of this effort is retrofitting municipal buildings to become more energy efficient. This dataset lists energy efficiency projects at City buildings that are complete or in progress. Projects are listed by address, building name, and agency, and the dataset includes the estimated reduction in tons of GHG emissions associated with the project.",https://data.cityofnewyork.us/Environmental-Sustainability/-/ytvg-f4ef,0,Environmental Sustainability,"department of citywide administrative services, energy efficiency projects, dcas, sustainability, planyc, retrofit, efficient, emission, ghg",0,ytvg-f4ef
Map,Liberty Street (Transportation/Liberty-Street/tmsh-zb4d),"Planimetric basemap line layer containing the street centerline. (roads, alley and interior park paths`.)",https://data.cityofnewyork.us/Transportation/Liberty-Street/tmsh-zb4d,0,Transportation,"geographic, location, map, cartography, transportation, street, center, centerline, road, alley, path",0,tmsh-zb4d
Tabular,DYCD after-school-programs: SYEP Summer Youth Employment Programs (Education/DYCD-after-school-programs-SYEP-Summer-Youth-Emplo/q5x3-7piv),"Facilities in New York City, by agency and site, that offer â€œSummer Youth Employment (SYEP) Programâ€ù after-school  job and internship programs for children ages 14 to 24 - the Department of Youth and Community Development (DYCD).
Update Frequency: Annually",https://data.cityofnewyork.us/Education/DYCD-after-school-programs-SYEP-Summer-Youth-Emplo/q5x3-7piv,0,Education,"education, services, youth, community, development, community development, school, child, children, after-school, summer youth employment, summer, employment, internships, job, jobs, internship, syep",0,q5x3-7piv
Map,Map view (Facilities-and-Structures/Map-view/6peb-bgzi),A list of parking facilities that have a current DCA license as of the run date.,https://data.cityofnewyork.us/Facilities-and-Structures/Map-view/6peb-bgzi,0,Facilities and Structures,"parking, license, parking lot, lot, park",0,6peb-bgzi
Blob,Open Balance (Brooklyn) (Property/Open-Balance-Brooklyn-/yh7h-cx7a),Property tax balance and payment information for all active properties,https://data.cityofnewyork.us/Property/Open-Balance-Brooklyn-/yh7h-cx7a,0,Property,"department of finance, finance, dof, brooklyn, borough, statement of account",0,yh7h-cx7a
Tabular,Education Of Subject Officers Against Whom Allegations Were Substantiated 2005 - 2009 (Public-Safety/Education-Of-Subject-Officers-Against-Whom-Allegat/yjbz-vif8),CCRB: Education of Subject Officers against Whom Allegations Were Substantiated 2005 - 2009,https://data.cityofnewyork.us/Public-Safety/Education-Of-Subject-Officers-Against-Whom-Allegat/yjbz-vif8,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct",0,yjbz-vif8
Tabular,Electric Consumption by ZIP Code - 2010 (Environmental-Sustainability/Electric-Consumption-by-ZIP-Code-2010/74cu-ncm4),"2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/Electric-Consumption-by-ZIP-Code-2010/74cu-ncm4,0,Environmental Sustainability,"electricity, energy, environment, planning, power, utilities",1,74cu-ncm4
Filter,Bronx refuse collection 9/2011 (Environmental-Sustainability/Bronx-refuse-collection-9-2011/e22i-zuuf),"For each Community District, the tons of Refuse, Paper Recycling and Metal, Glass & Plastic Recycling that were collected by the Department of Sanitation (DSNY) during the calendar month.",https://data.cityofnewyork.us/Environmental-Sustainability/Bronx-refuse-collection-9-2011/e22i-zuuf,0,Environmental Sustainability,"sanitation, dsny, refuse, recycle, recycling, plastic, metal, paper, community, community district, tonnage",0,e22i-zuuf
